Id,Name,Link,ConformanceUnits
1002,EnergySavingModeStatusType,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.3","ECM Standby Management;"
1003,EnergySavingModeType,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.4","ECM Standby Management;"
1004,EnergySavingModesContainerType,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.2","ECM Standby Management;"
1005,EnergyStandbyManagementType,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.1/#7.2.1.1","ECM Standby Management;"
1006,EnergyMeasurementType,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.1","ECM Energy Measurement;"
1007,IEnergyProfileE0Type,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.3/#7.1.3.1","ECM EnergyProfile E0;"
1008,IEnergyProfileE1Type,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.3/#7.1.3.2","ECM EnergyProfile E1;"
1009,IEnergyProfileE2Type,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.3/#7.1.3.3","ECM EnergyProfile E2;"
1010,IEnergyProfileE3Type,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.3/#7.1.3.4","ECM EnergyProfile E3;"
1011,IEnergyProfileD0Type,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.3/#7.1.3.5","ECM EnergyProfile D0;"
1012,EnergyDevicePowerOffType,"https://reference.opcfoundation.org/ECM/v100/docs/7.3.1/#7.3.1.1","ECM Sleep Mode WOL;"
1014,AccuracyDomainType,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.2","ECM Energy Measurement;"
1015,IEnergyProfileD1Type,"https://reference.opcfoundation.org/ECM/v100/docs/7.1.3/#7.1.3.6","ECM EnergyProfile D1;"
2002,EnergyMeasurementValueType,"https://reference.opcfoundation.org/ECM/v100/docs/8.1","ECM Energy Measurement;"
3002,StandbyModeTransitionDataType,"https://reference.opcfoundation.org/ECM/v100/docs/9.1","ECM Standby Management;"
3003,EnergyStateInformationDataType,"https://reference.opcfoundation.org/ECM/v100/docs/9.2","ECM Standby Management;"
3005,AcPeDataType,"https://reference.opcfoundation.org/ECM/v100/docs/9.3","ECM EnergyProfile E0;ECM EnergyProfile E3;ECM Energy Measurement Common DataTypes;"
3006,AcPpDataType,"https://reference.opcfoundation.org/ECM/v100/docs/9.4","ECM EnergyProfile E3;ECM Energy Measurement Common DataTypes;"
3007,MeasurementPeriodDataType,"https://reference.opcfoundation.org/ECM/v100/docs/9.6","ECM Energy Measurement;"
3010,MeasurementPeriodEnum,"https://reference.opcfoundation.org/ECM/v100/docs/9.5","ECM Energy Measurement;"
5009,AccuracyDomains,"https://reference.opcfoundation.org/ECM/v100/docs/10.1","ECM Energy Measurement;"
5019,ACCURACY_DOMAIN_PERCENT_FULL_SCALE,"https://reference.opcfoundation.org/ECM/v100/docs/10.2","ECM Accuracy Domain Percent full scale;"
5021,http://opcfoundation.org/UA/ECM/,"https://reference.opcfoundation.org/ECM/v100/docs/12.1",""
5024,ACCURACY_DOMAIN_PERCENT_ACTUAL_READING,"https://reference.opcfoundation.org/ECM/v100/docs/10.3","ECM Accuracy Domain Percent actual reading;"
5027,ACCURACY_DOMAIN_IEC,"https://reference.opcfoundation.org/ECM/v100/docs/10.4","ECM Accuracy Domain IEC;"
5030,ACCURACY_DOMAIN_EN,"https://reference.opcfoundation.org/ECM/v100/docs/10.5","ECM Accuracy Domain EN;"
7005,StartPause,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.1/#7.2.1.2",""
7006,EndPause,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.1/#7.2.1.4",""
7007,SwitchToEnergySavingMode,"https://reference.opcfoundation.org/ECM/v100/docs/7.2.1/#7.2.1.3",""
7009,SwitchOffWOL,"https://reference.opcfoundation.org/ECM/v100/docs/7.3.1/#7.3.1.2",""
