Id,Name,Link,ConformanceUnits
1000,DriveAxisType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.1","PDRV Measurement;PDRV Diagnosis Events;PDRV Signals;"
1001,AxisEventType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.1","PDRV Limit Events;"
1002,VelocityDriveAxisType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.2","PDRV Measurement;"
1005,FrequencyDriveAxisType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.3","PDRV Measurement;"
1006,PositioningDriveAxisType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.4","PDRV Measurement;"
1007,TraversingTaskType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.7","PDRV Measurement;"
1008,VelocityServoDriveAxisType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.5","PDRV Measurement;"
1009,PositionServoDriveAxisType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.6","PDRV Measurement;"
1012,DiagnosisAlarmType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.7","PDRV Diagnosis Alarms;"
1013,AxisSwOvertravelEventType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.2","PDRV Limit Events;"
1014,AxisHwOvertravelEventType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.3","PDRV Limit Events;"
1015,SafetyType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.8","PDRV Measurement;"
1016,TorqueLimitEventType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.4","PDRV Limit Events;"
1017,MotorCurrentLimitEventType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.6","PDRV Limit Events;"
1018,SafetyFunctionType,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.9",""
1019,ForceLimitEventType,"https://reference.opcfoundation.org/PNDRV/v100/docs/8.5","PDRV Limit Events;"
2000,AxisTypeVariableType,"https://reference.opcfoundation.org/PNDRV/v100/docs/9.1","PDRV Measurement;"
2001,TemperatureVariableType,"https://reference.opcfoundation.org/PNDRV/v100/docs/9.4","PDRV Measurement;"
2002,HomingDirectionType,"https://reference.opcfoundation.org/PNDRV/v100/docs/9.2","PDRV Measurement;"
2003,HomingModeType,"https://reference.opcfoundation.org/PNDRV/v100/docs/9.3","PDRV Measurement;"
5000,http://opcfoundation.org/UA/PDRV/,"https://reference.opcfoundation.org/PNDRV/v100/docs/11.1",""
7000,SetApplicationTag,"https://reference.opcfoundation.org/PNDRV/v100/docs/7.1",""
