Id,Name,Link,ConformanceUnits
1003,RecipeManagementType,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.1","TTD_RecipeManagementType;"
1004,RecurrentPrognosisType,"https://reference.opcfoundation.org/TTD/v100/docs/7.4","TTD_RecurrentPrognosisType;"
1006,TTDResultReadyEventType,"https://reference.opcfoundation.org/TTD/v100/docs/8.1","TTD_TTDResultEvents;"
1007,TTDResultManagementType,"https://reference.opcfoundation.org/TTD/v100/docs/7.5","TTD_TTDResultManagementType;"
1009,JobStatisticsType,"",""
1010,TextileTestingDeviceType,"https://reference.opcfoundation.org/TTD/v100/docs/7.1.1","TTD_TextileTestingDeviceType;"
1012,MachineStatisticsType,"https://reference.opcfoundation.org/TTD/v100/docs/7.3","TTD_MachineStatisticsType;"
2003,TTDResultType,"https://reference.opcfoundation.org/TTD/v100/docs/9.1","TTD_TTDResultType;"
3003,RecipeIdDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.5","TTD_RecipeManagementType;"
3006,ExchangeablePartDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.1","TTD_TextileTestingDeviceType;"
3009,OptionalModuleDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.2","TTD_TextileTestingDeviceType;"
3012,StatisticResultContentDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.3","TTD_TTDResultManagementType;"
3015,StatisticResultContentWithUnitsDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.4","TTD_TTDResultManagementType;"
3018,RecipeDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.6","TTD_RecipeManagementType;"
3022,TTDResultMetaDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.7","TTD_TTDResultManagementType;"
3025,JobOrderDataType,"",""
3028,TestNumDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.10","TTD_JobManagementType;"
3031,SampleInfoDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.9","TTD_JobManagementType;"
3034,TestProcedureIdDataType,"https://reference.opcfoundation.org/TTD/v100/docs/10.8","TTD_TextileTestingDeviceType;"
5054,http://opcfoundation.org/UA/TTD/,"https://reference.opcfoundation.org/TTD/v100/docs/12.1",""
7001,GetRecipeIds,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.2",""
7002,GetRecipe,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.3",""
7003,SetRecipe,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.4",""
7004,DeleteRecipe,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.5",""
7005,GetRecipes,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.6",""
7006,SetRecipes,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.7",""
7014,GetRecipeIds,"https://reference.opcfoundation.org/TTD/v100/docs/7.2.2",""
