Id,Name,Link,ConformanceUnits
1000,WireHarnessMachineType,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.4.2","WireHarness WireHarnessMachineType;"
1003,WireHarnessMachineIdentificationType,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.1.2","WireHarness WireHarnessMachineIdentificationType;"
1004,PartManagementType,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.2.2","WireHarness PartManagementType;"
1005,ProductFinishedEventType,"https://reference.opcfoundation.org/WireHarness/v100/docs/11.1","WireHarness ProductFinishedEventType;"
1006,WireHarnessJobOrderReceiverSubStatesType,"",""
1007,ArticleSpecManagementType,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.3.2","WireHarness ArticleManagementType;"
1008,RunCompleteEventType,"https://reference.opcfoundation.org/WireHarness/v100/docs/11.2","WireHarness RunCompleteEventType;"
3000,ProcessInputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.1.2","WireHarness ProcessInputType;"
3001,CutInputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.1.4","WireHarness CutInputDataType;"
3002,ProcessOutputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.2","WireHarness ProcessOutputType;"
3003,CutOutputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.6","WireHarness CutProcessOutputType;"
3008,ForceCurvePointDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.3","WireHarness CrimpOutputDataType;"
3018,CrimpInputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.1.3","WireHarness CrimpInputDataType;"
3022,StripInputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.1.6","WireHarness StripInputDataType;"
3026,StripOutputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.8","WireHarness StripOutputDataType;"
3033,ForceCurveDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.4","WireHarness CrimpOutputDataType;"
3035,CrimpOutputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.5","WireHarness CrimpOutputDataType;"
3049,SealInputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.1.5","WireHarness SealInputDataType;"
3052,SealOutputDataType,"https://reference.opcfoundation.org/WireHarness/v100/docs/12.2.7","WireHarness SealOutputDataType;"
5000,http://opcfoundation.org/UA/WireHarness/,"https://reference.opcfoundation.org/WireHarness/v100/docs/14.1",""
7009,FindPartsByType,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.2.4",""
7015,StorePart,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.2.3",""
7016,ClearPart,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.2.5",""
7017,StoreArticleSpec,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.3.3",""
7018,ClearArticleSpec,"https://reference.opcfoundation.org/WireHarness/v100/docs/10.3.4",""
